Title,Track,Type,Organiser(s),Participants,Remote Participants,Day,Time,Synopsis,Locked,OWASP Type,CSF Category,SAMM 2.0 Practice & Stream,Tags,Notes
Creating Appsec metrics and visualisation,DevSecOps,User,,10,0,Wed,PM-1,Yes,No,Defender,ID.GV,G-SM-B,Metrics,
WAFs - Understanding and measuring how they behave,DevSecOps,User,George Glass,0,0,,,No,No,Defender,PR.PT,O-EM-A,"Metrics, Infrastructure",
Writing security tests to confirm vulnerabilities and fixes,DevSecOps,User,Dinis Cruz,10,1,Thu,PM-1,No,No,Builder,RS.MI,O-EM-B,"Testing, Vulnerability Management",
Agile Practices for Security Teams,DevSecOps,Working,,11,2,Tue,PM-1,Yes,No,Defender,PR.IP,G-PC-A,"Agile, SDLC, Program Management",
Creating a Security Champions Network,DevSecOps,Working,,3,0,Wed,AM-1,Yes,No,Builder,PR.AT,G-EG-B,"Education, Program Management",
Dealing with DevSecOps Findings,DevSecOps,Working,"Claudio Camerino, Francisco Novo, Rafael Jimenez",4,3,Wed,"PM-1, PM-2",Yes,No,Defender,RS.MI,I-DM-A,Defect Management,
DevSecOps Maturity Model (DSOMM),DevSecOps,Working,,7,1,Tue,"PM-1, PM-2, PM-3",Yes?,No,Builder,ID.GV,All,Maturity Models,
From Threat Modeling to DevSecOps metrics,DevSecOps,Working,,6,3,Thu,PM-1,No,No,Defender,PR.IP,G-SM-B,"Metrics, Threat Modeling, Visualization",
Integrating Security Tools in the SDL,DevSecOps,Working,,10,2,Thu,"AM-1, PM-1",Yes,No,Builder,PR.IP,V-ST-A,"SDLC, Automation?, Education?, Program Management",
Secrets Management,DevSecOps,Working,Dominik de Smit,8,1,Wed,PM-1,Yes,No,Builder,PR.AC,I-SD-B,Infrastructure,
Securing the CI Pipeline,DevSecOps,Working,,15,1,Thu,"PM-2, PM-3",Yes,No,Builder,PR.IP,I-SD-A,"Automation, SDLC",
Ask me anything (AMA) on GDPR,Misc,User,Tony Richards,3,0,Tue,PM-1,Yes,No,Defender,ID.GV,G-PC-B,"Compliance, GDPR, CISO",
Introduction to Cynefin Framework (Training Session),Misc,User,Dave Snowden,2,0,Wed,AM-1,No,No,All,ID.GV,G-SM-B,"Cynefin Framework, Project Management",
Third Party Due Diligence,Misc,User,Didar Gelici,3,0,Thu,DS-2,No,No,Defender,ID.GV,G-PC-B,"Project Management, SDLC",
Using graphs for GDPR mappings and visualisations,Misc,User,,4,0,Thu,PM-3,Yes,No,Defender,ID.GV,G-PC-B,"GDPR, Visualization",
Customising the Chaos Engineering Toolkit,Misc,Working,,5,0,Fri,PM-1,Yes,No,Defender,DE.AE,V-ST-A,Testing,
Cyber Risk Modeling,Misc,Working,Phil Huggins,3,1,Thu,PM-3,No,No,Defender,ID.RM,D-TA-A,"Risk Management, CISO",
OWASP community-docs,Misc,Working,Jonathan Marcil,,,,,Yes,No,All,PR.AT,G-EG-B,"Outreach, Documentation","No day entered in MarkDown file, times entered as Eve-1, Eve-2 - John D. has reached out to Jonathan for clarification"
Real world Chaos Engineering,Misc,Working,,7,1,Fri,PM-3,Yes,No,Defender,DE.AE,V-ST-A,"API Security, Testing, Automation",Session is scheduled for Friday at 4:30 p.m. - is this correct?
Scaling API Security,Misc,Working,,5,1,Thu,DS-2,No,No,Defender,PR.PT,V-ST-A,"API Security, Infrastructure",
Securing Kubernete's hosted APIs,Misc,Working,,2,0,Thu,DS-2,No,No,Defender,PR.PT,O-EM-A,"API Security, Infrastructure",
Security Challenges - An Introduction,Misc,Working,Nick Drage,2,0,Mon,PM-1,No,No,All,ID.GV,G-SM-A,Strategic Challenges,
Security Challenges - Analyse others,Misc,Working,Nick Drage,0,0,Wed,,Yes,No,All,ID.GV,G-SM-A,Strategic Challenges,"Meant to be an on-your-own, all-day session - No room or times set"
"Security Challenges - Analysis, Analogies",Misc,Working,Nick Drage,2,0,Tue,PM-1,Yes,No,All,ID.GV,G-SM-A,Strategic Challenges,
Security Challenges - Collate others' strategies and assumptions,Misc,Working,Nick Drage,1,0,Thu,PM-1,Yes,No,All,ID.GV,G-SM-A,Strategic Challenges,"Meant to be the ""compare notes"" session, after the all-day on-your-own session Wednesday"
Security Challenges - Next step,Misc,Working,Nick Drage,2,0,Fri,PM-1,Yes,No,All,ID.GV,G-SM-A,Strategic Challenges,"Meant to be the final wrap-up session for the Strategic Challenges ""mini track"""
Using Cynefin Framework making strategic security decisions,Misc,Working,Dave Snowden,3,0,Wed,PM-1,No,No,All,ID.GV,G-SM-B,"Cynefin Framework, Project Management",
Juice Shop 101,OWASP Juice Shop,User,Bjoern Kimminich,1,0,Tue,AM-1,Yes,No,Builder,PR.AT,G-EG-A,"Education, Hands-on Learning",
Juice Shop Contributor Onboarding,OWASP Juice Shop,User,Bjoern Kimminich,1,0,Tue,PM-1,Yes,No,Builder,PR.AT,G-EG-A,"Education, Hands-on Learning",
Juice Shop Release Night,OWASP Juice Shop,User,Bjoern Kimminich,3,0,Thu,"Eve-1, Eve-2",Yes,No,Builder,PR.AT,G-EG-A,"Education, Hands-on Learning",
Juice Shop Round Table,OWASP Juice Shop,User,Bjoern Kimminich,2,0,Thu,PM-2,Yes,No,Builder,PR.AT,G-EG-A,"Education, Hands-on Learning",
Juice Shop Challenge Refactoring,OWASP Juice Shop,Working,Bjoern Kimminich,2,0,Thu,AM-1,Yes,No,Builder,PR.AT,G-EG-A,"Education, Hands-on Learning",
Juice Shop Hack'n'Code,OWASP Juice Shop,Working,Bjoern Kimminich,2,0,"Mon, Tue, Wed","Eve-1, Eve-2",Yes,No,Builder,PR.AT,G-EG-A,"Education, Hands-on Learning",
Mobile Security Testing Guide onboarding,OWASP MSTG,User,Jeroen Willemsen,7,0,Mon,PM-1,Yes,No,Builder,PR.IP,V-ST-B,Testing,
Mobile Security Testing Guide onboarding (Session 2),OWASP MSTG,User,Jeroen Willemsen,3,0,Wed,AM-1,Yes,No,Builder,PR.IP,V-ST-B,Testing,
OWASP Mobile Security Testing Guide 101,OWASP MSTG,User,Jeroen Willemsen,6,0,Mon,PM-1,Yes,No,All,PR.IP,V-ST-B,Testing,
OWASP Mobile Security Testing Guide 101 (Session 2),OWASP MSTG,User,Jeroen Willemsen,3,0,Wed,AM-1,Yes,No,All,PR.IP,V-ST-B,Testing,
Android and iOS Security Enhancements and Crackme Apps,OWASP MSTG,Working,Sven Schleier,5,1,All,All,Yes,No,All,PR.IP,V-ST-B,"Testing, MSTG, Mobile, iOS, Android","Probably not correct - session schedule for all time slots, on all five days"
Creating an iOS build pipeline with security checks,OWASP MSTG,Working,Sven Schleier,2,0,Wed,AM-1,Yes,No,Builder,PR.IP,V-ST-B,"Testing, MSTG, Mobile, iOS",
Mobile AppSec Verification Standard (MASVS),OWASP MSTG,Working,Jeroen Beckers,7,0,Mon,"AM-1, DS-1, PM-1, PM-2, Eve-1",Yes,No,All,PR.IP,V-ST-B,"Testing, MSTG, Mobile, iOS, Android",Session run through all times (except Eve-2) on Monday
Mobile Basic Security Testing and Reverse Engineering,OWASP MSTG,Working,Carlos Holguera,8,1,"Mon, Tue, Wed, Thu",All,Yes,No,All,PR.IP,V-ST-B,"Testing, MSTG, Mobile, iOS, Android","All sessions, Monday through Thursday"
Zap - How to use it,OWASP Projects,User,,6,0,Tue,EVE-1,No,No,Breaker,PR.PT,V-ST-A,"ZAP, Tool, Automation",No organiser
Application Security Verification Standard,OWASP Projects,Working,Jim Manico,9,0,Wed,PM-1,Yes,No,Builder,PR.IP,V-ST-A,"SDLC, Framework",
OWASP Application Security Curriculum Project,OWASP Projects,Working,"Adrian Winckles, John DiLeo",,,Tue,AM-1,Yes,No,All,PR.AT,G-EG-A,"Education, Program Management",
